,log_10_rew_prob,variable,value
276,-0.8733333333333335,modul,0.6440724599992907
277,-0.8733333333333335,modul,0.6440724599992907
278,-0.8733333333333335,modul,0.6440724599992907
279,-0.8733333333333335,modul,0.6440724599992907
280,-0.6800000000000002,modul,0.6192900399995311
281,-0.6800000000000002,modul,0.6192900399995311
282,-0.6800000000000002,modul,0.6192900399995311
283,-0.6800000000000002,modul,0.6192900399995311
284,-0.6800000000000002,modul,0.6192900399995311
285,-0.6800000000000002,modul,0.6192900399995311
286,-0.6800000000000002,modul,0.6192900399995311
287,-0.6800000000000002,modul,0.6192900399995311
288,-0.6800000000000002,modul,0.6192900399995311
289,-0.6800000000000002,modul,0.6192900399995311
290,-0.4866666666666668,modul,0.512799239999834
291,-0.4866666666666668,modul,0.512799239999834
292,-0.4866666666666668,modul,0.512799239999834
293,-0.4866666666666668,modul,0.512799239999834
294,-0.4866666666666668,modul,0.512799239999834
295,-0.4866666666666668,modul,0.512799239999834
296,-0.4866666666666668,modul,0.512799239999834
297,-0.4866666666666668,modul,0.512799239999834
298,-0.4866666666666668,modul,0.512799239999834
299,-0.4866666666666668,modul,0.512799239999834
300,-0.2933333333333335,modul,0.3897237999998855
301,-0.2933333333333335,modul,0.3897237999998855
302,-0.2933333333333335,modul,0.3897237999998855
303,-0.2933333333333335,modul,0.3897237999998855
304,-0.2933333333333335,modul,0.3897237999998855
305,-0.2933333333333335,modul,0.3897237999998855
306,-0.2933333333333335,modul,0.3897237999998855
307,-0.2933333333333335,modul,0.3897237999998855
308,-0.2933333333333335,modul,0.3897237999998855
309,-0.2933333333333335,modul,0.3897237999998855
310,-0.1,modul,0.28502255999989057
311,-0.1,modul,0.28502255999989057
312,-0.1,modul,0.28502255999989057
313,-0.1,modul,0.28502255999989057
314,-0.1,modul,0.28502255999989057
315,-0.1,modul,0.28502255999989057
316,-0.1,modul,0.28502255999989057
317,-0.1,modul,0.28502255999989057
318,-0.1,modul,0.28502255999989057
319,-0.1,modul,0.28502255999989057
320,-3.0,n_cc_vacc,33.0
321,-3.0,n_cc_vacc,33.0
322,-3.0,n_cc_vacc,28.0
323,-3.0,n_cc_vacc,36.0
324,-3.0,n_cc_vacc,28.0
325,-3.0,n_cc_vacc,29.0
326,-3.0,n_cc_vacc,30.0
327,-3.0,n_cc_vacc,36.0
328,-3.0,n_cc_vacc,36.0
329,-3.0,n_cc_vacc,28.0
330,-2.8066666666666666,n_cc_vacc,33.0
331,-2.8066666666666666,n_cc_vacc,26.0
332,-2.8066666666666666,n_cc_vacc,29.0
333,-2.8066666666666666,n_cc_vacc,35.0
334,-2.8066666666666666,n_cc_vacc,28.0
335,-2.8066666666666666,n_cc_vacc,28.0
336,-2.8066666666666666,n_cc_vacc,32.0
337,-2.8066666666666666,n_cc_vacc,29.0
338,-2.8066666666666666,n_cc_vacc,27.0
339,-2.8066666666666666,n_cc_vacc,27.0
340,-2.6133333333333333,n_cc_vacc,28.0
341,-2.6133333333333333,n_cc_vacc,31.0
342,-2.6133333333333333,n_cc_vacc,30.0
343,-2.6133333333333333,n_cc_vacc,33.0
344,-2.6133333333333333,n_cc_vacc,36.0
345,-2.6133333333333333,n_cc_vacc,31.0
346,-2.6133333333333333,n_cc_vacc,31.0
347,-2.6133333333333333,n_cc_vacc,22.0
348,-2.6133333333333333,n_cc_vacc,31.0
349,-2.6133333333333333,n_cc_vacc,25.0
350,-2.42,n_cc_vacc,27.0
